country,year,expenditure_per_capita
Australia,2015,4755.736
Australia,2016,5037.412
Australia,2017,5077.451
Australia,2018,5226.117
Australia,2019,5280.909
Australia,2020,5855.181
Australia,2021,6592.259
Australia,2022,6982.292
Australia,2023,7574.073
Australia,2024,7884.927
Australia,2025,8170.557
Austria,2015,4982.876
Austria,2016,5249.61
Austria,2017,5380.95
Austria,2018,5577.829
Austria,2019,6016.146
Austria,2020,6295.183
Austria,2021,7464.846
Austria,2022,7919.945
Austria,2023,8278.468
Austria,2024,8850.713
Austria,2025,9082.163
Belgium,2015,4839.929
Belgium,2016,5036.449
Belgium,2017,5185.522
Belgium,2018,5404.639
Belgium,2019,5806.198
Belgium,2020,6091.262
Belgium,2021,6549.082
Belgium,2022,7077.542
Belgium,2023,7690.773
Belgium,2024,8096.014
Belgium,2025,8297.455
Canada,2015,4640.668
Canada,2016,5049.311
Canada,2017,5185.076
Canada,2018,5333.631
Canada,2019,5394.953
Canada,2020,6195.885
Canada,2021,6896.98
Canada,2022,6910.418
Canada,2023,7208.115
Canada,2024,7372.25
Canada,2025,7505.901
Chile,2015,1833.552
Chile,2016,1941.256
Chile,2017,2119.552
Chile,2018,2262.518
Chile,2019,2389.441
Chile,2020,2489.426
Chile,2021,2848.285
Chile,2022,3130.127
Chile,2023,3515.455
Chile,2024,4002.955
Chile,2025,4095.044
Colombia,2015,1077.247
Colombia,2016,1146.737
Colombia,2017,1184.434
Colombia,2018,1245.711
Colombia,2019,1315.321
Colombia,2020,1379.007
Colombia,2021,1635.019
Colombia,2022,1633.154
Colombia,2023,1885.752
Colombia,2024,2089.781
Colombia,2025,2088.131
Costa Rica,2015,1372.151
Costa Rica,2016,1403.238
Costa Rica,2017,1436.559
Costa Rica,2018,1522.274
Costa Rica,2019,1603.628
Costa Rica,2020,1581.441
Costa Rica,2021,1709.282
Costa Rica,2022,1759.395
Costa Rica,2023,1901.755
Costa Rica,2024,2057.709
Costa Rica,2025,2207.824
Czechia,2015,2593.927
Czechia,2016,2778.648
Czechia,2017,2952.804
Czechia,2018,3124.264
Czechia,2019,3490.876
Czechia,2020,4098.209
Czechia,2021,4462.251
Czechia,2022,4540.407
Czechia,2023,4920.598
Czechia,2024,5200.672
Czechia,2025,5611.917
Denmark,2015,4719.382
Denmark,2016,4894.079
Denmark,2017,5112.959
Denmark,2018,5306.704
Denmark,2019,5656.597
Denmark,2020,6146.851
Denmark,2021,6912.955
Denmark,2022,6888.355
Denmark,2023,7076.503
Denmark,2024,7400.824
Denmark,2025,7579.631
Estonia,2015,1941.591
Estonia,2016,2096.544
Estonia,2017,2201.474
Estonia,2018,2364.073
Estonia,2019,2613.77
Estonia,2020,2921.922
Estonia,2021,3175.924
Estonia,2022,3181.755
Estonia,2023,3568.142
Estonia,2024,3930.431
Estonia,2025,4057.684
Finland,2015,3992.493
Finland,2016,4103.554
Finland,2017,4215.309
Finland,2018,4330.443
Finland,2019,4659.76
Finland,2020,4966.75
Finland,2021,5394.731
Finland,2022,5834.019
Finland,2023,6562.965
Finland,2024,6786.265
Finland,2025,6775.237
France,2015,4607.219
France,2016,4863.273
France,2017,4944.338
France,2018,5035.647
France,2019,5433.728
France,2020,5770.47
France,2021,6300.431
France,2022,6761.628
France,2023,7165.712
France,2024,7433.373
France,2025,7521.952
Germany,2015,5274.178
Germany,2016,5645.607
Germany,2017,5940.117
Germany,2018,6247.099
Germany,2019,6785.384
Germany,2020,7362.902
Germany,2021,8103.429
Germany,2022,8792.414
Germany,2023,8927.4
Germany,2024,9584.343
Germany,2025,10115.728
Greece,2015,2131.633
Greece,2016,2269.74
Greece,2017,2265.007
Greece,2018,2332.431
Greece,2019,2505.281
Greece,2020,2682.375
Greece,2021,2946.525
Greece,2022,3240.499
Greece,2023,3628.243
Greece,2024,3791.208
Greece,2025,3802.397
Hungary,2015,1899.987
Hungary,2016,2010.802
Hungary,2017,2011.198
Hungary,2018,2121.786
Hungary,2019,2245.498
Hungary,2020,2615.41
Hungary,2021,2949.774
Hungary,2022,3004.874
Hungary,2023,3161.939
Hungary,2024,3340.53
Hungary,2025,3388.189
Iceland,2015,3761.82
Iceland,2016,3967.963
Iceland,2017,4142.909
Iceland,2018,4265.976
Iceland,2019,4634.479
Iceland,2020,5010.877
Iceland,2021,5555.612
Iceland,2022,6137.699
Iceland,2023,6493.054
Iceland,2024,7013.286
Iceland,2025,7135.163
Ireland,2015,4303.342
Ireland,2016,4556.428
Ireland,2017,4676.421
Ireland,2018,4855.401
Ireland,2019,5183.907
Ireland,2020,5585.105
Ireland,2021,6188.965
Ireland,2022,6863.892
Ireland,2023,7333.768
Ireland,2024,7900.295
Ireland,2025,8284.317
Israel,2015,2310.019
Israel,2016,2524.083
Israel,2017,2626.181
Israel,2018,2748.975
Israel,2019,2811.711
Israel,2020,3015.382
Israel,2021,3476.472
Israel,2022,3724.325
Israel,2023,4049.04
Israel,2024,4234.976
Israel,2025,4304.23
Italy,2015,3125.671
Italy,2016,3317.723
Italy,2017,3426.725
Italy,2018,3529.22
Italy,2019,3798.028
Italy,2020,4027.251
Italy,2021,4408.746
Italy,2022,4865.044
Italy,2023,5114.1
Italy,2024,5337.42
Italy,2025,5336.057
Japan,2015,4515.556
Japan,2016,4292.171
Japan,2017,4405.469
Japan,2018,4543.305
Japan,2019,4659.58
Japan,2020,4858.511
Japan,2021,5465.04
Japan,2022,5878.23
Japan,2023,5963.557
Japan,2024,5884.151
Japan,2025,5872.61
Korea,2015,2538.289
Korea,2016,2689.795
Korea,2017,2832.054
Korea,2018,3090.994
Korea,2019,3374.802
Korea,2020,3618.078
Korea,2021,4106.425
Korea,2022,4714.771
Korea,2023,4756.55
Korea,2024,5098.699
Korea,2025,5281.676
Latvia,2015,1319.35
Latvia,2016,1508.338
Latvia,2017,1572.717
Latvia,2018,1860.969
Latvia,2019,2158.118
Latvia,2020,2403.416
Latvia,2021,3495.178
Latvia,2022,3287.28
Latvia,2023,3201.524
Latvia,2024,3643.207
Latvia,2025,3964.609
Lithuania,2015,1796.823
Lithuania,2016,1954.499
Lithuania,2017,2082.483
Lithuania,2018,2381.798
Lithuania,2019,2852.444
Lithuania,2020,3092.326
Lithuania,2021,3601.094
Lithuania,2022,3712.223
Lithuania,2023,3952.182
Lithuania,2024,4394.853
Lithuania,2025,4431.54
Luxembourg,2015,4692.311
Luxembourg,2016,4876.34
Luxembourg,2017,4989.031
Luxembourg,2018,5292.055
Luxembourg,2019,5620.701
Luxembourg,2020,5858.675
Luxembourg,2021,6432.133
Luxembourg,2022,7144.535
Luxembourg,2023,7736.494
Luxembourg,2024,8183.482
Luxembourg,2025,8487.308
Mexico,2015,1035.932
Mexico,2016,1080.954
Mexico,2017,1067.28
Mexico,2018,1089.225
Mexico,2019,1101.894
Mexico,2020,1184.145
Mexico,2021,1252.882
Mexico,2022,1376.689
Mexico,2023,1520.001
Mexico,2024,1653.43
Mexico,2025,1679.779
Netherlands,2015,4927.104
Netherlands,2016,5095.836
Netherlands,2017,5253.774
Netherlands,2018,5482.27
Netherlands,2019,5908.388
Netherlands,2020,6515.942
Netherlands,2021,7332.629
Netherlands,2022,7726.056
Netherlands,2023,8151.366
Netherlands,2024,8695.625
Netherlands,2025,8965.505
New Zealand,2015,3355.062
New Zealand,2016,3545.639
New Zealand,2017,3694.968
New Zealand,2018,3712.001
New Zealand,2019,4003.766
New Zealand,2020,4352.668
New Zealand,2021,4869.351
New Zealand,2022,6158.614
New Zealand,2023,6059.011
New Zealand,2024,6067.146
New Zealand,2025,6057.334
Norway,2015,5725.456
Norway,2016,5902.381
Norway,2017,6234.379
Norway,2018,6495.078
Norway,2019,6907.682
Norway,2020,7220.869
Norway,2021,7889.755
Norway,2022,8641.832
Norway,2023,9063.33
Norway,2024,9243.464
Norway,2025,9204.065
Poland,2015,1818.883
Poland,2016,1959.094
Poland,2017,2062.735
Poland,2018,2106.662
Poland,2019,2391.57
Poland,2020,2510.275
Poland,2021,2788.216
Poland,2022,3263.279
Poland,2023,3711.453
Poland,2024,4327.855
Poland,2025,5126.955
Portugal,2015,2653.268
Portugal,2016,2828.767
Portugal,2017,2921.627
Portugal,2018,3145.68
Portugal,2019,3444.964
Portugal,2020,3599.297
Portugal,2021,4208.078
Portugal,2022,4689.556
Portugal,2023,5005.462
Portugal,2024,5374.811
Portugal,2025,5633.636
Slovak Republic,2015,2059.132
Slovak Republic,2016,2039.611
Slovak Republic,2017,1974.466
Slovak Republic,2018,2008.975
Slovak Republic,2019,2282.531
Slovak Republic,2020,2448.986
Slovak Republic,2021,2921.945
Slovak Republic,2022,3185.926
Slovak Republic,2023,3484.26
Slovak Republic,2024,3923.089
Slovak Republic,2025,4061.4
Slovenia,2015,2579.281
