country,year,population
Australia,2000,19028802
Australia,2001,19274701
Australia,2002,19495210
Australia,2003,19720737
Australia,2004,19932722
Australia,2005,20176844
Australia,2006,20450966
Australia,2007,20827622
Australia,2008,21249199
Australia,2009,21691653
Australia,2010,22031750
Australia,2011,22340024
Australia,2012,22733465
Australia,2013,23128129
Australia,2014,23475686
Australia,2015,23815995
Australia,2016,24190907
Australia,2017,24592588
Australia,2018,24963258
Australia,2019,25334826
Australia,2020,25649248
Australia,2021,25685412
Australia,2022,26018721
Australia,2023,26659922
Australia,2024,27194286
Australia,2025,27614411
Austria,2000,8011566
Austria,2001,8042293
Austria,2002,8080292
Austria,2003,8114402
Austria,2004,8166432
Austria,2005,8222090
Austria,2006,8265675
Austria,2007,8293654
Austria,2008,8319388
Austria,2009,8338752
Austria,2010,8357367
Austria,2011,8384901
Austria,2012,8420328
Austria,2013,8472176
Austria,2014,8538350
Austria,2015,8618709
Austria,2016,8737663
Austria,2017,8790624
Austria,2018,8833192
Austria,2019,8872344
Austria,2020,8912293
Austria,2021,8945279
Austria,2022,9058407
Austria,2023,9125730
Austria,2024,9174908
Austria,2025,9208161
Canada,2000,30685730
Canada,2001,31020855
Canada,2002,31359199
Canada,2003,31642461
Canada,2004,31938807
Canada,2005,32242732
Canada,2006,32571193
Canada,2007,32888886
Canada,2008,33247298
Canada,2009,33630069
Canada,2010,34005902
Canada,2011,34339221
Canada,2012,34713395
Canada,2013,35080992
Canada,2014,35434066
Canada,2015,35704498
Canada,2016,36110803
Canada,2017,36545075
Canada,2018,37072620
Canada,2019,37618495
Canada,2020,38028638
Canada,2021,38239864
Canada,2022,38950132
Canada,2023,40049088
Canada,2024,41262329
Canada,2025,41651653
Finland,2000,5176203
Finland,2001,5188005
Finland,2002,5200598
Finland,2003,5213010
Finland,2004,5228173
Finland,2005,5246100
Finland,2006,5266266
Finland,2007,5288719
Finland,2008,5313398
Finland,2009,5338867
Finland,2010,5363341
Finland,2011,5388272
Finland,2012,5413967
Finland,2013,5438975
Finland,2014,5461507
Finland,2015,5479528
Finland,2016,5495297
Finland,2017,5508209
Finland,2018,5515525
Finland,2019,5521605
Finland,2020,5529545
Finland,2021,5541020
Finland,2022,5556108
Finland,2023,5583901
Finland,2024,5619914
Finland,2025,5644421
France,2000,60724780
France,2001,61163237
France,2002,61604550
France,2003,62037544
France,2004,62490800
France,2005,62958328
France,2006,63393406
France,2007,63781275
France,2008,64133174
France,2009,64458715
France,2010,64773169
France,2011,65087317
France,2012,65402998
France,2013,65735961
France,2014,66276671
France,2015,66512558
France,2016,66688563
France,2017,66883314
France,2018,67125071
France,2019,67349922
France,2020,67569466
France,2021,67878650
France,2022,68232524
France,2023,68521609
France,2024,68745188
France,2025,68966992
Germany,2000,82162364
Germany,2001,82349922
Germany,2002,82488493
Germany,2003,82534175
Germany,2004,82516266
Germany,2005,82469421
Germany,2006,82376451
Germany,2007,82266371
Germany,2008,82110098
Germany,2009,81902311
Germany,2010,81776936
Germany,2011,80274981
Germany,2012,80425826
Germany,2013,80645605
Germany,2014,80982495
Germany,2015,81686608
Germany,2016,82348669
Germany,2017,82657000
Germany,2018,82905788
Germany,2019,83092956
Germany,2020,83160877
Germany,2021,83196076
Germany,2022,83797987
Germany,2023,83287281
Germany,2024,83516599
Germany,2025,83522129
Greece,2000,10805806
Greece,2001,10862129
Greece,2002,10902022
Greece,2003,10928072
Greece,2004,10955142
Greece,2005,10987316
Greece,2006,11020366
Greece,2007,11048466
Greece,2008,11077839
Greece,2009,11107017
Greece,2010,11121344
Greece,2011,11104900
Greece,2012,11045010
Greece,2013,10965209
Greece,2014,10892415
Greece,2015,10820883
Greece,2016,10775966
Greece,2017,10754679
Greece,2018,10732877
Greece,2019,10721584
Greece,2020,10698597
Greece,2021,10570133
Greece,2022,10437804
Greece,2023,10394869
Greece,2024,10374048
Greece,2025,10369123
Hungary,2000,10210965
Hungary,2001,10187578
Hungary,2002,10158610
Hungary,2003,10129554
Hungary,2004,10107140
Hungary,2005,10087064
Hungary,2006,10071374
Hungary,2007,10055778
Hungary,2008,10038186
Hungary,2009,10022647
Hungary,2010,10000020
Hungary,2011,9958824
Hungary,2012,9913588
Hungary,2013,9872737
Hungary,2014,9833034
Hungary,2015,9797756
Hungary,2016,9759760
Hungary,2017,9726755
Hungary,2018,9706961
Hungary,2019,9694826
Hungary,2020,9670416
Hungary,2021,9630930
Hungary,2022,9605078
Hungary,2023,9592192
Hungary,2024,9562069
Hungary,2025,9513959
Italy,2000,56942108
Italy,2001,56976976
Italy,2002,57089823
Italy,2003,57399187
Italy,2004,57828178
Italy,2005,58166684
Italy,2006,58399863
Italy,2007,58756247
Italy,2008,59211183
Italy,2009,59555456
Italy,2010,59819402
Italy,2011,60026844
Italy,2012,60191243
Italy,2013,60311616
Italy,2014,60320708
Italy,2015,60229599
Italy,2016,60115220
Italy,2017,60002254
Italy,2018,59877216
Italy,2019,59729077
Italy,2020,59438845
Italy,2021,59133173
Italy,2022,59013671
Italy,2023,58984217
Italy,2024,58957352
Italy,2025,58943152
Japan,2000,126925843
Japan,2001,127291000
Japan,2002,127435000
Japan,2003,127619000
Japan,2004,127687000
Japan,2005,127767994
Japan,2006,127900515
Japan,2007,128032743
Japan,2008,128083960
Japan,2009,128031514
Japan,2010,128057352
Japan,2011,127834233
Japan,2012,127592657
Japan,2013,127413888
Japan,2014,127237150
Japan,2015,127094745
Japan,2016,127041812
Japan,2017,126918546
Japan,2018,126748506
Japan,2019,126555078
Japan,2020,126146099
Japan,2021,125502290
Japan,2022,124946789
Japan,2023,124351877
Japan,2024,123801750
Japan,2025,123219000
Mexico,2000,99368858
Mexico,2001,100739263
Mexico,2002,102167274
Mexico,2003,103587899
